titles;urls
ΨΗΦΙΑΚΟ ΑΡΧΕΙΟ Ι. ΚΑΠΟΔΙΣΤΡΙΑ;http://kapodistrias.digitalarchive.gr/monuments.php?type=%CE%9F%CF%80%CF%84%CE%B9%CE%BA%CE%BF%CE%B1%CE%BA%CE%BF%CF%85%CF%83%CF%84%CE%B9%CE%BA%CE%AC%20%CF%84%CE%B5%CE%BA%CE%BC%CE%AE%CF%81%CE%B9%CE%B1/
Ψηφιακό Αρχείο Κιμώλου;http://archive.odigitria.net
Μεγάλη Μουσική Βιβλιοθήκη της Ελλάδος - Ψηφιακή βιβλιοθήκη;http://www.mmb.org.gr/page/default.asp?la=1&id=4761
Μικρός Απόπλους Αρχαία Ελληνικά Κείμενα;http://www.mikrosapoplous.gr/t2t.htm
Μουσείο Τύπου της Ένωσης Συντακτών Ημερησίων Εφημερίδων Πελοποννήσου-Ηπείρου-Νήσων (Ε.Σ.Η.Ε.Π.Η.Ν.) - Συγκέντρωση και διαφύλαξη εφημερίδων, περιοδικών, χειρογράφων και άλλων εντύπων κυρίως από το παρελθόν;http://www.mouseiotipou.gr/arxeion-xml/pages/esiepi/internet/intro
Μυριόβιβλος - Κείμενα σχετικά με Χριστιανισμό, αλλά και αρκετά άλλα από Βυζάντιο έως νεοελληνική γραμματεία;http://http://myriobiblos.gr/library%20home.htm
Ψηφιοποιημένο Αρχείο \Νεοελληνικών Αναγνωσμάτων\ (1884-1977);http://users.sch.gr/chkoumpar/NAfiles.html
Ορθόδοξη Ψηφιακή Θεολογική Βιβλιοθήκη;http://www.imdlibrary.gr/index.php/el/#/
Πάνδημος;http://pandemos.panteion.gr/index.php?lang=el&op=record&pid=cid:19
Παρουσία;http://epub.lib.uoa.gr/index.php/parousia/index
Πέργαμος;http://pergamos.lib.uoa.gr/dl/index
Ινστιτούτο Παστέρ - Ιστορικό Αρχείο;http://www.pasteur.gr/ha/Ελληνικό
Πλειάς;http://pleias.lis.upatras.gr/index.php/index/index
«Ψηφιοθήκη»;http://digital.lib.auth.gr/
«ΙΚΕΕ»;http://ikee.lib.auth.gr/
«INVENIO»;http://ikee.lib.auth.gr/
«Ηλεκτρονικό Αρχείο Διπλωματικών Εργασιών της Σχολής Αρχιτεκτόνων Μηχανικών Ε.Μ.Π.»;http://courses.arch.ntua.gr/el/diatmhmatiko_programma_metaptyxiakvn_spoydvn__sxediasmos_-_xvros_-_politismos/diplvmatikes_metaptyxiakes_ergasies/hlektroniko_arxeio_diplvmatikvn_ergasivn.html
«Apothesis»;https://apothesis.eap.gr/
«Ψηφιακή Βιβλιοθήκη Γκρίζας Βιβλιογραφίας»;http://efessos.lib.uoa.gr/greylit.nsf
